2019/01/16 10:55:27.432 [D] [operationquery.go:50]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546109574
2019/01/16 10:55:27.434 [D] [operationquery.go:61]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 11:44:26.061 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546112512
2019/01/16 11:44:26.063 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 11:57:03.975 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546113270
2019/01/16 11:57:03.977 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 11:57:20.588 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546113287
2019/01/16 11:57:20.590 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 15:17:06.468 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546125273
2019/01/16 15:17:06.470 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 15:24:13.747 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546125700
2019/01/16 15:24:13.751 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 15:39:10.037 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546126597
2019/01/16 15:39:10.040 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 16:00:51.317 [E] [token.go:32]  failed%!(EXTRA *errors.errorString=key is of invalid type)
2019/01/16 16:00:51.321 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546127898
2019/01/16 16:00:51.324 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 16:06:30.276 [D] [operationquery.go:49]  使用的地址为http://192.168.5.169:8080/MDS/interface/OperationQuery,时间是1546128237
2019/01/16 16:06:30.278 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
