2019/01/18 10:33:58.231 [D] [operationquery.go:49]  使用的地址为,时间是1546177262
2019/01/18 10:33:58.234 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 10:47:18.111 [E] [basecontroller.go:31]  密钥验证错误,请确认后重新执行
2019/01/18 10:47:22.730 [E] [basecontroller.go:31]  密钥验证错误,请确认后重新执行
2019/01/18 10:47:39.875 [D] [operationquery.go:49]  使用的地址为,时间是1546178084
2019/01/18 10:47:39.877 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 10:48:20.445 [E] [basecontroller.go:31]  密钥验证错误,请确认后重新执行
2019/01/18 10:48:34.372 [D] [operationquery.go:49]  使用的地址为,时间是1546178138
2019/01/18 10:48:34.374 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 11:05:42.247 [D] [operationquery.go:49]  使用的地址为,时间是1546179166
2019/01/18 11:05:42.249 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 11:05:59.767 [E] [basecontroller.go:32]  密钥验证错误,请确认后重新执行,访问的ip地址为:192.168.5.169
2019/01/18 11:23:26.790 [D] [operationquery.go:49]  使用的地址为,时间是1546180230
2019/01/18 11:23:26.792 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 11:24:13.171 [D] [operationquery.go:49]  使用的地址为,时间是1546180277
2019/01/18 11:24:13.173 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 11:25:00.487 [D] [operationquery.go:49]  使用的地址为,时间是1546180324
2019/01/18 11:25:00.490 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/18 11:30:49.384 [D] [basecontroller.go:20]  使用的地址为/MDS/interface/OperationQuery,时间戳是1546180673
2019/01/18 11:30:49.387 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
